Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
jawa tengah - klaten,6,0.60,12.28,14.88,0.00,28.11,9.08,0.17,77.07,24.50,85.64,62,
jawa tengah - sukoharjo,6,0.48,7.58,7.87,0.00,17.61,9.91,0.12,77.86,24.30,90.93,4,
jawa tengah - wonogiri,6,0.19,10.94,19.37,0.00,21.08,7.66,0.72,76.56,19.50,88.91,13,
jawa tengah - karanganyar,6,0.57,9.79,14.36,0.00,12.04,9.05,0.32,77.72,22.20,89.67,9,
jawa tengah - sragen,6,0.27,12.87,22.25,0.00,8.69,7.83,0.29,75.97,18.40,89.37,11,
jawa tengah - grobogan,6,0.29,11.72,38.45,0.00,9.41,7.35,0.53,75.04,20.20,87.29,35,
jawa tengah - blora,6,0.27,11.49,25.34,0.00,8.14,7.36,0.84,74.71,21.20,88.53,18,
jawa tengah - rembang,6,0.41,14.17,31.67,0.00,7.08,7.86,0.51,74.77,19.50,86.85,41,
jawa tengah - pati,6,0.27,9.31,19.76,0.00,9.89,7.96,0.38,76.39,18.50,90.88,6,
jawa tengah - kudus,6,0.89,7.24,11.96,0.00,16.34,9.32,0.13,76.86,15.70,88.81,14,
jawa tengah - jepara,6,0.68,6.61,23.72,0.00,23.56,8.39,0.36,76.04,18.90,87.00,37,
jawa tengah - demak,6,0.38,12.01,25.22,0.00,4.64,8.47,0.38,75.60,9.50,90.47,7,
jawa tengah - semarang,6,1.02,7.17,16.64,0.00,21.70,8.46,0.38,75.95,18.80,85.57,64,
jawa tengah - temanggung,6,1.97,9.26,21.07,0.00,12.34,7.87,0.43,75.77,25.10,78.91,190,
jawa tengah - kendal,6,0.84,9.39,18.38,0.00,19.24,7.96,0.35,74.58,22.40,84.83,77,
jawa tengah - batang,6,0.74,8.92,19.60,0.00,20.88,7.38,0.46,74.85,24.70,84.77,78,
jawa tengah - pekalongan,6,1.02,9.67,25.69,0.00,26.99,7.70,0.41,73.87,28.60,80.65,150,
jawa tengah - pemalang,6,0.68,15.03,36.26,0.00,21.40,6.84,0.40,73.85,15.30,81.81,124,
jawa tengah - tegal,6,0.83,7.30,27.80,0.00,18.31,7.55,0.27,72.00,21.50,83.71,95,
jawa tengah - brebes,6,0.74,15.78,27.01,0.11,25.43,6.68,0.43,69.96,21.60,78.79,194,
jawa tengah - kota magelang,6,0.00,6.11,10.67,0.00,6.68,11.08,0.01,77.22,15.40,91.41,12,
jawa tengah - kota surakarta,6,0.00,8.44,9.82,0.00,10.65,10.91,0.01,77.63,16.00,87.67,34,
jawa tengah - kota salatiga,6,0.00,4.66,1.32,0.00,10.74,11.30,0.03,77.93,16.90,91.35,13,
jawa tengah - kota semarang,6,0.00,4.23,5.43,0.00,4.00,10.57,0.03,77.90,15.70,92.74,6,
jawa tengah - kota pekalongan,6,0.00,6.81,16.15,0.00,21.88,9.53,0.03,74.60,28.20,78.27,77,
jawa tengah - kota tegal,6,0.00,7.68,8.62,0.00,1.64,9.90,0.02,74.77,22.30,85.73,46,
di yogyakarta - kulon progo,6,0.60,15.64,12.58,0.00,18.44,9.17,0.33,75.29,21.20,85.73,58,
di yogyakarta - bantul,6,1.32,11.96,7.94,0.00,18.86,9.97,0.15,73.94,20.50,82.92,105,
di yogyakarta - gunungkidul,6,0.16,15.60,16.79,0.00,41.29,7.32,0.78,74.24,22.20,82.97,103,
di yogyakarta - sleman,6,1.54,7.52,9.18,0.00,17.85,11.10,0.07,75.08,12.40,84.91,74,
di yogyakarta - kota yogyakarta,6,0.00,6.49,7.32,0.00,26.33,12.14,0.01,74.91,16.80,84.21,51,
jawa timur - pacitan,6,0.49,13.65,23.25,0.12,28.82,7.95,1.04,72.86,20.90,82.94,104,
